"BehaviorSpace results (NetLogo 6.1.0)"
"diffusion-model-7.nlogo"
"social-influence-experiment"
"08/04/2019 23:24:04:269 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","network-density","num-agents","network-type","social-influence","broadcast-influence","fraction-influencers","influencers-weight","[step]","count turtles with [ adopted > 0 ]","count turtles with [ adopted = 1 ]","count influencers with [ adopted > 0 ]","count influencers with [ adopted = 1 ]","count followers with [ adopted > 0 ]","count followers with [ adopted = 1 ]"
"5","0.1","300","random","0","10","0.1","0.7","11","198","0","18","0","180","0"
"7","0.1","300","random","0","10","0.1","0.7","11","200","0","21","0","179","0"
"6","0.1","300","random","0","10","0.1","0.7","14","241","0","26","0","215","0"
"8","0.1","300","random","0","10","0.1","0.7","14","241","0","20","0","221","0"
"2","0.1","300","random","0","10","0.1","0.7","13","211","0","24","0","187","0"
"4","0.1","300","random","0","10","0.1","0.7","16","249","0","26","0","223","0"
"1","0.1","300","random","0","10","0.1","0.7","16","239","0","25","0","214","0"
"5","0.1","300","random","0","10","0.1","0.7","12","206","0","19","0","187","0"
"6","0.1","300","random","0","10","0.1","0.7","15","247","0","27","0","220","0"
"2","0.1","300","random","0","10","0.1","0.7","14","217","0","24","0","193","0"
"8","0.1","300","random","0","10","0.1","0.7","15","248","0","20","0","228","0"
"4","0.1","300","random","0","10","0.1","0.7","17","258","0","28","0","230","0"
"1","0.1","300","random","0","10","0.1","0.7","17","243","0","25","0","218","0"
"5","0.1","300","random","0","10","0.1","0.7","13","212","0","20","0","192","0"
"6","0.1","300","random","0","10","0.1","0.7","16","255","0","28","0","227","0"
"2","0.1","300","random","0","10","0.1","0.7","15","224","0","25","0","199","0"
"4","0.1","300","random","0","10","0.1","0.7","18","261","0","28","0","233","0"
"8","0.1","300","random","0","10","0.1","0.7","16","257","0","20","0","237","0"
"1","0.1","300","random","0","10","0.1","0.7","18","246","0","25","0","221","0"
"5","0.1","300","random","0","10","0.1","0.7","14","222","0","20","0","202","0"
"3","0.1","300","random","0","10","0.1","0.7","13","233","0","22","0","211","0"
"6","0.1","300","random","0","10","0.1","0.7","17","263","0","28","0","235","0"
"4","0.1","300","random","0","10","0.1","0.7","19","266","0","29","0","237","0"
"1","0.1","300","random","0","10","0.1","0.7","19","248","0","26","0","222","0"
"8","0.1","300","random","0","10","0.1","0.7","17","260","0","23","0","237","0"
"5","0.1","300","random","0","10","0.1","0.7","15","233","0","21","0","212","0"
"3","0.1","300","random","0","10","0.1","0.7","14","239","0","22","0","217","0"
"6","0.1","300","random","0","10","0.1","0.7","18","270","0","29","0","241","0"
"4","0.1","300","random","0","10","0.1","0.7","20","271","0","29","0","242","0"
"1","0.1","300","random","0","10","0.1","0.7","20","253","0","26","0","227","0"
"5","0.1","300","random","0","10","0.1","0.7","16","245","0","22","0","223","0"
"3","0.1","300","random","0","10","0.1","0.7","15","245","0","23","0","222","0"
"7","0.1","300","random","0","10","0.1","0.7","12","212","0","21","0","191","0"
"2","0.1","300","random","0","10","0.1","0.7","16","233","0","27","0","206","0"
"6","0.1","300","random","0","10","0.1","0.7","19","273","0","29","0","244","0"
"7","0.1","300","random","0","10","0.1","0.7","13","224","0","24","0","200","0"
"8","0.1","300","random","0","10","0.1","0.7","18","268","0","26","0","242","0"
"3","0.1","300","random","0","10","0.1","0.7","16","249","0","23","0","226","0"
"5","0.1","300","random","0","10","0.1","0.7","17","251","0","23","0","228","0"
"7","0.1","300","random","0","10","0.1","0.7","14","234","0","24","0","210","0"
"3","0.1","300","random","0","10","0.1","0.7","17","255","0","23","0","232","0"
"2","0.1","300","random","0","10","0.1","0.7","17","241","0","27","0","214","0"
"4","0.1","300","random","0","10","0.1","0.7","21","272","0","29","0","243","0"
"8","0.1","300","random","0","10","0.1","0.7","19","272","0","26","0","246","0"
"6","0.1","300","random","0","10","0.1","0.7","20","275","0","29","0","246","0"
"1","0.1","300","random","0","10","0.1","0.7","21","257","0","28","0","229","0"
"3","0.1","300","random","0","10","0.1","0.7","18","259","0","24","0","235","0"
"7","0.1","300","random","0","10","0.1","0.7","15","235","0","24","0","211","0"
"2","0.1","300","random","0","10","0.1","0.7","18","248","0","27","0","221","0"
"3","0.1","300","random","0","10","0.1","0.7","19","261","0","24","0","237","0"
"6","0.1","300","random","0","10","0.1","0.7","21","278","0","29","0","249","0"
"1","0.1","300","random","0","10","0.1","0.7","22","262","0","28","0","234","0"
"7","0.1","300","random","0","10","0.1","0.7","16","241","0","26","0","215","0"
"8","0.1","300","random","0","10","0.1","0.7","20","275","0","26","0","249","0"
"3","0.1","300","random","0","10","0.1","0.7","20","262","0","24","0","238","0"
"6","0.1","300","random","0","10","0.1","0.7","22","278","0","29","0","249","0"
"1","0.1","300","random","0","10","0.1","0.7","23","266","0","28","0","238","0"
"4","0.1","300","random","0","10","0.1","0.7","22","276","0","29","0","247","0"
"5","0.1","300","random","0","10","0.1","0.7","18","253","0","23","0","230","0"
"7","0.1","300","random","0","10","0.1","0.7","17","245","0","26","0","219","0"
"3","0.1","300","random","0","10","0.1","0.7","21","268","0","25","0","243","0"
"6","0.1","300","random","0","10","0.1","0.7","23","281","0","29","0","252","0"
"1","0.1","300","random","0","10","0.1","0.7","24","269","0","28","0","241","0"
"4","0.1","300","random","0","10","0.1","0.7","23","279","0","29","0","250","0"
"3","0.1","300","random","0","10","0.1","0.7","22","271","0","25","0","246","0"
